Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-79500.0;-79500;40;4;0;0
2;-97500;-88500;31;1;0;0
3;-74400;-83800;12;1;0;0
4;-77850;-82312;13;1;0;0
5;-87550;-83360;17;1;0;0
6;-51800;-78100;8;3;0;0
7;-66050;-76379;30;2;0;0
8;-70700;-75669;5;0;0;0
9;-75550;-75656;13;3;0;0
10;-73900;-75480;15;3;0;0
11;-150000;-82255;30;4;0;0
12;-42050;-78904;29;3;0;0
13;-79350;-78938;13;0;0;0
14;-179500;-86121;77;7;0;0
15;-75600;-85420;10;2;0;0
16;-91250;-85784;26;1;0;0
17;-52150;-83806;6;1;0;0
18;-73700;-83244;6;0;0;0
19;-75450;-82834;11;1;0;0
20;-53400;-81362;6;0;0;0
21;-80250;-81310;13;1;0;0
22;-72950;-80930;9;1;0;0
23;-74450;-80648;8;0;0;0
24;-77450;-80515;12;1;0;0
25;-134300;-82666;56;8;0;0
26;-78900;-82521;17;2;0;0
27;-83650;-82563;19;3;0;0
28;-86050;-82688;25;5;0;0
29;-69000;-82216;8;0;0;0
30;-54800;-81302;8;1;0;0
31;-30100;-79650;5;1;0;0
32;-85750;-79841;22;3;0;0
33;-50250;-78944;7;1;0;0
34;-77150;-78891;10;0;0;0
35;-87650;-79141;22;1;0;0
36;-73200;-78976;9;1;0;0
37;-35500;-77801;16;3;0;0
38;-74650;-77718;8;1;0;0
39;-73650;-77614;9;1;0;0
40;-79000;-77649;10;0;0;0
41;-80550;-77720;16;2;0;0
42;-116050;-78632;17;2;0;0
43;-96850;-79056;23;1;0;0
44;-76650;-79001;10;0;0;0
45;-51900;-78399;6;1;0;0
46;-73200;-78286;9;0;0;0
47;-148700;-79784;26;2;0;0
48;-65400;-79484;21;2;0;0
49;-63350;-79155;14;0;0;0
50;-56850;-78709;12;1;0;0
51;-54300;-78230;7;0;0;0
52;-70450;-78081;8;1;0;0
53;-80100;-78119;14;0;0;0
54;-52550;-77645;7;1;0;0
55;-76750;-77629;13;2;0;0
56;-54550;-77217;15;2;0;0
57;-126000;-78073;20;1;0;0
58;-36750;-77360;7;2;0;0
59;-79650;-77399;26;1;0;0
60;-103350;-77832;18;1;0;0
61;-56150;-77476;13;1;0;0
62;-60150;-77197;10;1;0;0
63;-43550;-76663;14;1;0;0
64;-70550;-76567;25;2;0;0
65;-16700;-75646;9;1;0;0
66;-75350;-75642;25;0;0;0
67;-32800;-75002;23;4;0;0
68;-27950;-74310;20;3;0;0
69;-51650;-73982;5;0;0;0
70;-62750;-73821;29;0;0;0
71;-85800;-73990;19;0;0;0
72;-57400;-73760;9;0;0;0
73;-70850;-73720;7;1;0;0
74;-80800;-73816;17;1;0;0
75;-44750;-73428;22;1;0;0
76;-93300;-73689;33;1;0;0
77;-75950;-73719;8;0;0;0
78;-73350;-73714;8;1;0;0
79;-73000;-73705;8;0;0;0
80;-46700;-73368;19;3;0;0
81;-103250;-73736;44;6;0;0
82;-74250;-73743;9;1;0;0
83;-88900;-73925;20;0;0;0
84;-58250;-73739;14;1;0;0
85;-88050;-73907;17;0;0;0
86;-50150;-73631;5;1;0;0
87;-69400;-73582;5;1;0;0
88;-78600;-73639;15;2;0;0
89;-78950;-73699;9;0;0;0
90;-70450;-73663;5;1;0;0
91;-56900;-73479;8;0;0;0
92;-31350;-73021;8;1;0;0
93;-65550;-72940;20;2;0;0
94;-50600;-72703;6;2;0;0
95;-75400;-72731;11;2;0;0
96;-60950;-72608;13;0;0;0
97;-30200;-72171;7;2;0;0
98;-73600;-72186;8;1;0;0
99;-74300;-72207;21;1;0;0
100;-183500;-73320;45;1;0;0
101;-52150;-73110;25;3;0;0
102;-97850;-73353;29;2;0;0
103;-30450;-72936;7;1;0;0
104;-60100;-72813;13;0;0;0
105;-55400;-72647;8;1;0;0
106;-84350;-72758;14;0;0;0
107;-69450;-72727;5;1;0;0
108;-88550;-72873;42;4;0;0
109;-50200;-72665;7;1;0;0
110;-72450;-72663;11;3;0;0
111;-72450;-72661;11;1;0;0
112;-46300;-72426;7;1;0;0
113;-136150;-72990;17;2;0;0
114;-84150;-73088;20;3;0;0
115;-72600;-73083;29;4;0;0
116;-78950;-73134;9;0;0;0
117;-159400;-73871;52;1;0;0
118;-78950;-73914;13;1;0;0
119;-43700;-73661;14;0;0;0
120;-77450;-73692;13;1;0;0
121;-55500;-73542;14;2;0;0
122;-81050;-73603;16;2;0;0
123;-35650;-73295;14;1;0;0
124;-51750;-73121;7;1;0;0
125;-113550;-73444;34;4;0;0
126;-77000;-73473;13;0;0;0
127;-71350;-73456;6;0;0;0
128;-72950;-73452;8;0;0;0
129;-100350;-73660;15;3;0;0
130;-78350;-73697;13;0;0;0
131;-55600;-73558;8;1;0;0
132;-105250;-73798;34;0;0;0
133;-54200;-73651;9;1;0;0
134;-32100;-73341;7;0;0;0
135;-75450;-73357;10;0;0;0
136;-56600;-73233;25;1;0;0
137;-74400;-73242;7;0;0;0
138;-72700;-73238;6;0;0;0
139;-95000;-73395;23;0;0;0
140;-84400;-73473;27;1;0;0
141;-73450;-73473;9;1;0;0
142;-77950;-73505;17;4;0;0
143;-18250;-73118;8;0;0;0
144;-74650;-73129;8;1;0;0
145;-121550;-73463;53;6;0;0
146;-94450;-73607;30;6;0;0
147;-86000;-73691;14;0;0;0
148;-204750;-74576;39;6;0;0
149;-85900;-74652;51;7;0;0
150;-60400;-74557;10;0;0;0
151;-142650;-75008;46;4;0;0
152;-74400;-75004;7;0;0;0
153;-177550;-75675;49;3;0;0
154;-73600;-75661;8;1;0;0
