Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-52650.0;-52650;7;0;0;0
2;-50350;-51500;6;2;0;0
3;-70650;-57883;6;0;0;0
4;-111750;-71350;28;2;0;0
5;-54200;-67920;11;0;0;0
6;-73850;-68908;13;1;0;0
7;-69400;-68979;5;0;0;0
8;-56150;-67375;10;1;0;0
9;-73800;-68089;10;0;0;0
10;-73350;-68615;9;0;0;0
11;-49400;-66868;5;1;0;0
12;-49800;-65446;7;2;0;0
13;-49150;-64192;7;1;0;0
14;-49100;-63114;5;0;0;0
15;-70750;-63623;8;1;0;0
16;-50150;-62781;5;0;0;0
17;-54350;-62285;10;1;0;0
18;-49650;-61583;6;2;0;0
19;-69950;-62024;5;0;0;0
20;-53550;-61600;8;0;0;0
21;-70300;-62014;6;0;0;0
22;-71600;-62450;7;0;0;0
23;-53850;-62076;12;2;0;0
24;-77700;-62727;41;1;0;0
25;-74800;-63210;13;1;0;0
26;-50150;-62708;5;0;0;0
27;-69800;-62970;6;0;0;0
28;-67900;-63146;5;1;0;0
29;-49600;-62679;5;0;0;0
30;-68900;-62887;5;0;0;0
31;-72750;-63205;12;2;0;0
32;-131150;-65328;15;2;0;0
33;-71950;-65529;10;0;0;0
34;-49150;-65047;5;1;0;0
35;-49600;-64606;5;0;0;0
36;-71850;-64807;11;3;0;0
37;-72450;-65014;11;2;0;0
38;-137100;-66911;16;0;0;0
39;-20050;-65709;10;0;0;0
40;-128650;-67282;27;1;0;0
41;-83100;-67668;21;2;0;0
42;-42300;-67064;20;1;0;0
43;-79650;-67357;17;1;0;0
44;-75150;-67534;10;0;0;0
45;-79050;-67790;22;3;0;0
46;-126500;-69066;35;3;0;0
47;-105400;-69839;20;2;0;0
48;-52350;-69475;10;0;0;0
49;-63550;-69354;21;0;0;0
50;-22000;-68407;14;1;0;0
51;-50550;-68057;6;0;0;0
52;-49900;-67708;5;1;0;0
53;-49350;-67361;6;1;0;0
54;-108600;-68125;26;3;0;0
55;-81800;-68374;26;3;0;0
56;-71250;-68425;37;4;0;0
57;-77500;-68584;19;3;0;0
58;-78750;-68759;16;1;0;0
59;-58900;-68592;18;1;0;0
60;-80400;-68789;16;1;0;0
61;-98800;-69281;15;2;0;0
62;-67200;-69248;6;0;0;0
63;-72050;-69292;11;2;0;0
64;-11050;-68382;6;1;0;0
65;-75850;-68497;13;2;0;0
66;-94900;-68897;21;2;0;0
67;-109950;-69510;35;4;0;0
68;-95350;-69890;31;0;0;0
69;-69950;-69891;5;0;0;0
70;-87300;-70139;27;1;0;0
71;-78700;-70260;13;0;0;0
72;-68450;-70235;5;1;0;0
73;-53650;-70008;9;1;0;0
74;-31350;-69485;6;1;0;0
75;-48000;-69199;30;3;0;0
76;-108700;-69718;26;2;0;0
77;-55400;-69532;16;2;0;0
78;-179700;-70945;28;3;0;0
79;-68900;-70919;6;2;0;0
80;-53100;-70696;12;1;0;0
81;-48250;-70419;6;1;0;0
82;-64100;-70342;23;1;0;0
83;-75300;-70402;13;1;0;0
84;-75500;-70462;10;0;0;0
85;-68900;-70444;5;0;0;0
86;-80450;-70560;15;3;0;0
87;-49350;-70317;5;1;0;0
88;-51800;-70106;8;1;0;0
89;-53600;-69921;48;4;0;0
90;-63800;-69853;20;0;0;0
91;-46000;-69591;13;2;0;0
92;-45350;-69327;9;2;0;0
93;-66550;-69297;30;3;0;0
94;-95850;-69580;61;4;0;0
95;-36950;-69236;24;4;0;0
96;-50250;-69039;7;1;0;0
97;-54300;-68887;16;1;0;0
98;-120700;-69415;45;2;0;0
99;-70600;-69427;11;1;0;0
100;-163600;-70369;51;3;0;0
101;-73100;-70396;9;0;0;0
102;-57500;-70270;15;2;0;0
103;-71750;-70284;10;2;0;0
104;-50150;-70090;5;0;0;0
105;-140800;-70764;51;1;0;0
106;-50150;-70569;5;0;0;0
107;-46900;-70348;26;1;0;0
108;-59750;-70250;21;1;0;0
109;-31200;-69892;11;2;0;0
110;-50550;-69716;8;1;0;0
111;-51500;-69552;8;1;0;0
112;-92300;-69755;25;2;0;0
113;-80250;-69848;16;0;0;0
114;-125500;-70336;47;4;0;0
115;-107400;-70658;54;4;0;0
116;-69450;-70648;5;0;0;0
117;-110800;-70991;34;5;0;0
118;-88350;-71138;22;1;0;0
119;-49150;-70953;5;1;0;0
120;-138800;-71519;60;7;0;0
121;-71100;-71515;8;1;0;0
122;-52950;-71363;10;1;0;0
123;-82750;-71456;22;1;0;0
124;-48650;-71272;5;1;0;0
125;-153800;-71932;103;9;0;0
126;-44050;-71711;19;3;0;0
127;-53450;-71567;13;1;0;0
128;-74400;-71589;9;0;0;0
129;-86150;-71702;35;4;0;0
130;-45350;-71499;31;4;0;0
131;-133450;-71972;43;2;0;0
132;-67700;-71940;13;4;0;0
133;-51250;-71784;9;1;0;0
134;-50600;-71626;7;1;0;0
135;-76800;-71664;15;1;0;0
136;-55150;-71543;9;0;0;0
137;-69150;-71526;5;1;0;0
138;-49600;-71367;5;0;0;0
139;-54650;-71246;12;1;0;0
140;-97250;-71432;50;3;0;0
141;-75500;-71461;11;0;0;0
142;-86750;-71569;25;1;0;0
143;-74750;-71591;12;0;0;0
144;-68450;-71569;5;1;0;0
145;-19350;-71209;21;2;0;0
146;-77200;-71250;59;1;0;0
147;-73550;-71266;31;2;0;0
148;-35950;-71027;13;0;0;0
149;-52250;-70901;12;1;0;0
150;-52100;-70776;7;0;0;0
151;-55350;-70674;22;3;0;0
152;-53650;-70562;8;1;0;0
153;-52400;-70443;8;1;0;0
154;-73600;-70463;35;5;0;0
155;-72600;-70477;37;3;0;0
156;-83350;-70560;71;8;0;0
157;-53200;-70449;15;4;0;0
158;-234450;-71487;88;3;0;0
159;-68900;-71471;5;0;0;0
160;-89950;-71586;40;6;0;0
161;-126550;-71928;45;5;0;0
162;-82100;-71990;18;0;0;0
163;-52850;-71873;40;1;0;0
164;-72100;-71874;11;2;0;0
165;-49750;-71740;9;2;0;0
166;-79750;-71789;15;5;0;0
167;-32400;-71553;19;4;0;0
168;-234200;-72521;137;11;0;0
169;-114700;-72770;34;3;0;0
170;-73600;-72775;17;4;0;0
171;-34300;-72550;17;3;0;0
172;-90950;-72657;41;5;0;0
173;-57450;-72569;38;3;0;0
174;-82800;-72628;17;0;0;0
175;-91350;-72735;42;1;0;0
176;-135950;-73094;78;4;0;0
177;-99100;-73241;18;4;0;0
178;-28850;-72992;5;1;0;0
179;-94300;-73111;57;9;0;0
180;-135500;-73458;43;3;0;0
181;-148550;-73872;85;12;0;0
182;-133100;-74198;55;2;0;0
183;-80500;-74232;23;3;0;0
184;-69450;-74206;5;0;0;0
185;-54850;-74102;12;0;0;0
186;-153600;-74529;64;5;0;0
187;-82250;-74570;20;1;0;0
188;-122750;-74827;70;7;0;0
189;-159000;-75272;75;9;0;0
190;-83100;-75313;47;2;0;0
191;-96850;-75426;41;5;0;0
192;-54250;-75316;12;2;0;0
193;-109650;-75494;31;2;0;0
194;-95200;-75595;30;0;0;0
195;-83650;-75636;31;3;0;0
196;-32300;-75415;9;0;0;0
197;-70000;-75388;21;7;0;0
198;-234500;-76191;79;5;0;0
199;-40500;-76012;16;2;0;0
200;-116450;-76214;43;3;0;0
201;-58550;-76126;35;5;0;0
202;-76350;-76127;38;1;0;0
203;-138100;-76433;19;0;0;0
204;-55300;-76329;14;2;0;0
205;-49950;-76200;7;0;0;0
206;-67700;-76159;5;1;0;0
207;-63200;-76097;37;3;0;0
208;-67800;-76057;13;2;0;0
209;-52150;-75942;9;2;0;0
210;-15600;-75655;25;5;0;0
211;-70650;-75631;6;0;0;0
212;-70300;-75606;9;2;0;0
213;-84850;-75650;24;1;0;0
214;-51200;-75535;11;1;0;0
215;-49900;-75416;5;1;0;0
216;-40250;-75253;19;2;0;0
217;-73400;-75245;9;0;0;0
218;-68600;-75214;6;1;0;0
219;-84800;-75258;37;7;0;0
220;-69700;-75233;6;1;0;0
221;-49900;-75118;5;1;0;0
222;-202400;-75691;91;5;0;0
223;-52200;-75586;14;3;0;0
224;-71150;-75566;7;0;0;0
225;-117900;-75754;35;9;0;0
226;-94100;-75836;45;3;0;0
227;-70400;-75812;8;1;0;0
228;-130750;-76053;82;7;0;0
229;-69400;-76024;5;0;0;0
230;-69450;-75995;5;0;0;0
231;-81800;-76020;14;0;0;0
232;-72250;-76004;57;0;0;0
233;-17950;-75755;15;1;0;0
234;-121100;-75949;36;5;0;0
235;-129600;-76177;65;2;0;0
236;-150350;-76491;82;8;0;0
237;-36100;-76321;17;2;0;0
238;-67500;-76284;15;3;0;0
239;-52250;-76183;9;0;0;0
240;-66600;-76143;21;2;0;0
241;-74600;-76137;25;4;0;0
242;-57250;-76059;18;2;0;0
243;-50550;-75954;11;3;0;0
244;-34650;-75784;9;0;0;0
245;-27250;-75586;14;5;0;0
246;-69100;-75560;11;2;0;0
