Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-107300.0;-107300;49;8;0;0
2;-69850;-88575;7;0;0;0
3;-101450;-92867;29;2;0;0
4;-51800;-82600;9;2;0;0
5;-73400;-80760;11;0;0;0
6;-48900;-75450;5;1;0;0
7;-67200;-74271;23;2;0;0
8;-70300;-73775;7;0;0;0
9;-168150;-84261;63;2;0;0
10;-52400;-81075;8;1;0;0
11;-95600;-82395;21;3;0;0
12;-49450;-79650;5;1;0;0
13;-51000;-77446;15;2;0;0
14;-71050;-76989;7;0;0;0
15;-51900;-75317;7;0;0;0
16;-72250;-75125;9;1;0;0
17;-109100;-77124;32;2;0;0
18;-70300;-76744;11;2;0;0
19;-76950;-76755;22;2;0;0
20;-71350;-76485;10;1;0;0
21;-52450;-75340;12;2;0;0
22;-60700;-74675;22;0;0;0
23;-49700;-73589;5;0;0;0
24;-69350;-73412;5;0;0;0
25;-70450;-73294;6;0;0;0
26;-76450;-73415;16;0;0;0
27;-68850;-73246;5;0;0;0
28;-68550;-73079;6;1;0;0
29;-94250;-73809;15;2;0;0
30;-69600;-73668;8;1;0;0
31;-61550;-73277;21;1;0;0
32;-68250;-73120;25;0;0;0
33;-80350;-73339;18;0;0;0
34;-48350;-72604;5;1;0;0
35;-54900;-72099;18;1;0;0
36;-70750;-72061;8;1;0;0
37;-69350;-71988;5;0;0;0
38;-37700;-71086;14;2;0;0
39;-73000;-71135;11;1;0;0
40;-48950;-70580;5;1;0;0
41;-71200;-70595;7;0;0;0
42;-72600;-70643;10;0;0;0
43;-80200;-70865;23;1;0;0
44;-59750;-70612;25;0;0;0
45;-63200;-70448;22;0;0;0
46;-74000;-70525;13;2;0;0
47;-69600;-70505;8;1;0;0
48;-51900;-70118;7;0;0;0
49;-81900;-70358;23;1;0;0
50;-53750;-70026;9;0;0;0
51;-74950;-70123;16;1;0;0
52;-68800;-70097;5;0;0;0
53;-56400;-69839;18;1;0;0
54;-53650;-69539;12;0;0;0
55;-69750;-69543;31;0;0;0
56;-54200;-69269;15;0;0;0
57;-68300;-69252;5;0;0;0
58;-49450;-68910;6;1;0;0
59;-84350;-69172;26;1;0;0
60;-28750;-68498;5;1;0;0
61;-67950;-68489;6;1;0;0
62;-74600;-68588;11;1;0;0
63;-50850;-68306;8;2;0;0
64;-133050;-69318;23;4;0;0
65;-77550;-69445;15;1;0;0
66;-73600;-69508;14;0;0;0
67;-72250;-69549;10;0;0;0
68;-86300;-69795;30;3;0;0
69;-68850;-69781;5;0;0;0
70;-67700;-69751;29;1;0;0
71;-71150;-69771;9;1;0;0
72;-32000;-69247;7;1;0;0
73;-132450;-70112;71;5;0;0
74;-53450;-69887;12;1;0;0
75;-60800;-69766;21;1;0;0
76;-73900;-69820;11;0;0;0
