Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-50800.0;-50800;6;1;0;0
2;-73700;-62250;6;0;0;0
3;-69400;-64633;5;1;0;0
4;-52750;-61662;7;2;0;0
5;-50050;-59340;7;2;0;0
6;-79700;-62733;22;0;0;0
7;-54600;-61571;8;1;0;0
8;-132900;-70488;30;2;0;0
9;-83550;-71939;15;2;0;0
10;-76150;-72360;8;0;0;0
11;-50400;-70364;5;0;0;0
12;-50650;-68721;5;0;0;0
13;-72200;-68988;10;2;0;0
14;-72200;-69218;6;1;0;0
15;-72200;-69417;6;1;0;0
16;-71250;-69531;8;1;0;0
17;-120000;-72500;34;2;0;0
18;-75300;-72656;8;0;0;0
19;-70900;-72563;5;0;0;0
20;-60550;-71962;13;2;0;0
21;-70150;-71876;6;1;0;0
22;-69650;-71775;5;1;0;0
23;-128050;-74222;21;1;0;0
24;-49750;-73202;9;0;0;0
25;-56600;-72538;15;2;0;0
26;-55500;-71883;10;2;0;0
27;-53200;-71191;11;1;0;0
28;-71400;-71198;6;1;0;0
29;-57800;-70736;9;0;0;0
30;-52050;-70113;9;1;0;0
31;-72900;-70203;7;1;0;0
32;-53050;-69667;8;1;0;0
33;-89550;-70270;22;2;0;0
34;-155550;-72778;27;1;0;0
35;-71150;-72731;6;1;0;0
36;-77350;-72860;11;0;0;0
37;-73550;-72878;7;0;0;0
38;-105200;-73729;38;1;0;0
39;-75050;-73763;8;1;0;0
40;-47850;-73115;5;2;0;0
41;-73950;-73135;11;1;0;0
42;-51400;-72618;5;1;0;0
43;-76250;-72702;11;2;0;0
44;-51650;-72224;5;0;0;0
45;-73150;-72244;7;0;0;0
46;-76900;-72346;11;1;0;0
47;-72150;-72341;14;3;0;0
48;-72550;-72346;12;2;0;0
49;-73150;-72362;12;2;0;0
50;-76350;-72442;11;0;0;0
51;-49900;-72000;5;2;0;0
52;-72200;-72004;9;1;0;0
53;-73550;-72033;7;0;0;0
54;-69400;-71984;5;1;0;0
55;-86450;-72247;19;1;0;0
56;-18600;-71289;11;0;0;0
57;-51400;-70940;5;1;0;0
58;-51650;-70608;5;0;0;0
59;-56150;-70363;10;1;0;0
60;-120350;-71196;17;0;0;0
61;-105050;-71751;19;0;0;0
62;-129400;-72681;24;2;0;0
63;-87650;-72918;18;1;0;0
64;-77400;-72988;12;1;0;0
65;-90750;-73262;26;3;0;0
66;-51650;-72934;5;0;0;0
67;-51650;-72616;5;0;0;0
68;-84150;-72786;20;1;0;0
69;-75000;-72818;11;0;0;0
70;-50900;-72505;6;1;0;0
71;-88950;-72737;22;1;0;0
72;-73800;-72751;8;1;0;0
73;-51400;-72459;5;1;0;0
74;-81000;-72574;12;0;0;0
75;-129050;-73327;28;1;0;0
76;-74700;-73345;9;0;0;0
77;-72650;-73336;6;0;0;0
78;-70900;-73305;5;0;0;0
79;-104450;-73699;31;1;0;0
80;-82150;-73805;18;3;0;0
81;-50650;-73519;5;0;0;0
82;-37350;-73078;9;0;0;0
83;-74450;-73095;7;0;0;0
84;-69750;-73055;7;1;0;0
85;-75000;-73078;10;0;0;0
86;-37950;-72669;13;2;0;0
87;-51650;-72428;5;0;0;0
88;-69900;-72399;5;0;0;0
89;-86450;-72557;19;2;0;0
90;-247350;-74499;40;4;0;0
91;-70200;-74452;8;2;0;0
92;-73600;-74442;7;0;0;0
93;-54950;-74233;8;1;0;0
94;-70150;-74189;6;1;0;0
95;-114200;-74611;25;2;0;0
96;-60150;-74460;15;1;0;0
97;-53700;-74246;8;0;0;0
98;-74150;-74245;7;1;0;0
99;-79150;-74294;13;0;0;0
100;-73850;-74290;9;2;0;0
101;-103500;-74579;30;0;0;0
102;-96850;-74798;17;3;0;0
103;-73600;-74786;8;1;0;0
104;-36300;-74416;10;2;0;0
105;-71150;-74385;6;1;0;0
106;-53400;-74187;6;0;0;0
107;-71200;-74159;6;1;0;0
108;-48250;-73919;12;2;0;0
109;-56150;-73756;13;2;0;0
110;-70900;-73730;5;0;0;0
111;-65800;-73659;16;1;0;0
112;-70100;-73627;6;1;0;0
113;-73700;-73627;6;0;0;0
114;-71950;-73613;5;0;0;0
115;-74850;-73623;8;0;0;0
116;-106200;-73904;17;0;0;0
117;-51750;-73715;7;1;0;0
