Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-72150.0;-72150;10;0;0;0
2;-49500;-60825;7;1;0;0
3;-34800;-52150;14;0;0;0
4;-47350;-50950;12;5;0;0
5;-53950;-51550;10;0;0;0
6;-48350;-51017;5;1;0;0
7;-96400;-57500;24;2;0;0
8;-49200;-56462;5;0;0;0
9;-49700;-55711;5;0;0;0
10;-69050;-57045;6;0;0;0
11;-69350;-58164;5;0;0;0
12;-67450;-58938;5;1;0;0
13;-68100;-59642;8;1;0;0
14;-54100;-59246;9;0;0;0
15;-97150;-61773;16;2;0;0
16;-28200;-59675;5;1;0;0
17;-50400;-59129;8;0;0;0
18;-48350;-58531;5;1;0;0
19;-62150;-58721;24;2;0;0
20;-70600;-59315;10;1;0;0
21;-108950;-61679;21;3;0;0
22;-70800;-62093;8;1;0;0
23;-30050;-60700;5;0;0;0
24;-53600;-60404;10;2;0;0
25;-82400;-61284;19;2;0;0
26;-68000;-61542;6;1;0;0
27;-53950;-61261;14;1;0;0
28;-30050;-60146;5;0;0;0
29;-50500;-59814;11;0;0;0
30;-48650;-59442;5;0;0;0
31;-154150;-62497;36;3;0;0
32;-51700;-62159;9;0;0;0
33;-144950;-64668;30;1;0;0
34;-76450;-65015;18;2;0;0
35;-68600;-65117;5;0;0;0
36;-52400;-64764;8;1;0;0
37;-71850;-64955;9;1;0;0
38;-51150;-64592;7;0;0;0
39;-86500;-65154;20;2;0;0
40;-69150;-65254;6;0;0;0
41;-49450;-64868;5;1;0;0
42;-69650;-64982;6;1;0;0
43;-49450;-64621;5;1;0;0
44;-71350;-64774;13;1;0;0
45;-64350;-64764;26;3;0;0
46;-80600;-65109;23;1;0;0
47;-74900;-65317;16;3;0;0
48;-140750;-66889;26;2;0;0
49;-49700;-66538;5;0;0;0
50;-53750;-66282;9;0;0;0
51;-69100;-66337;6;1;0;0
52;-51650;-66055;7;1;0;0
53;-57400;-65892;12;0;0;0
54;-68550;-65941;6;1;0;0
55;-35750;-65392;13;0;0;0
56;-70750;-65488;10;2;0;0
57;-77450;-65697;20;0;0;0
58;-69550;-65764;6;0;0;0
59;-51550;-65523;7;0;0;0
60;-48900;-65246;6;1;0;0
61;-136550;-66415;25;2;0;0
62;-53250;-66202;18;1;0;0
63;-49450;-65937;6;1;0;0
64;-111850;-66654;17;2;0;0
65;-69100;-66692;6;1;0;0
66;-71300;-66761;10;1;0;0
67;-49250;-66500;10;1;0;0
68;-71350;-66571;12;3;0;0
69;-76100;-66709;36;2;0;0
70;-58550;-66593;18;1;0;0
71;-25350;-66012;15;0;0;0
72;-21900;-65399;17;0;0;0
73;-49700;-65184;5;0;0;0
74;-48950;-64965;5;0;0;0
75;-49800;-64763;9;1;0;0
76;-131750;-65644;31;4;0;0
