Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-57550.0;-57550;13;1;0;0
2;-60200;-58875;12;1;0;0
3;-78450;-65400;14;1;0;0
4;-73750;-67488;8;1;0;0
5;-72750;-68540;8;1;0;0
6;-88250;-71825;18;0;0;0
7;-75100;-72293;8;0;0;0
8;-79250;-73162;11;0;0;0
9;-61650;-71883;19;2;0;0
10;-143500;-79045;22;0;0;0
11;-53350;-76709;8;2;0;0
12;-68650;-76038;31;3;0;0
13;-71750;-75708;10;1;0;0
14;-71000;-75371;7;1;0;0
15;-90150;-76357;26;2;0;0
16;-56550;-75119;11;1;0;0
17;-68950;-74756;5;1;0;0
18;-33350;-72456;10;2;0;0
19;-48200;-71179;9;1;0;0
20;-69000;-71070;5;1;0;0
21;-70550;-71045;6;1;0;0
22;-71900;-71084;6;0;0;0
23;-54900;-70380;8;1;0;0
24;-52800;-69648;6;0;0;0
25;-93100;-70586;33;2;0;0
26;-52800;-69902;6;0;0;0
27;-61900;-69606;16;1;0;0
28;-96950;-70582;28;2;0;0
29;-116350;-72160;35;2;0;0
30;-76650;-72310;11;1;0;0
31;-53350;-71698;7;0;0;0
32;-126850;-73422;28;2;0;0
33;-69700;-73309;6;0;0;0
34;-95600;-73965;31;1;0;0
35;-72750;-73930;8;1;0;0
36;-89200;-74354;24;1;0;0
37;-48550;-73657;5;2;0;0
38;-71250;-73593;9;1;0;0
39;-68200;-73455;6;1;0;0
40;-63650;-73210;15;1;0;0
41;-81650;-73416;19;1;0;0
42;-67350;-73271;22;1;0;0
43;-74750;-73306;14;0;0;0
44;-49350;-72761;7;3;0;0
45;-51200;-72282;5;0;0;0
46;-68900;-72209;7;1;0;0
47;-59100;-71930;21;1;0;0
48;-76900;-72033;11;0;0;0
49;-73800;-72069;13;1;0;0
50;-40850;-71445;18;3;0;0
51;-56400;-71150;11;1;0;0
52;-59950;-70935;11;0;0;0
53;-52200;-70581;7;0;0;0
54;-71950;-70606;9;0;0;0
55;-81050;-70796;15;1;0;0
56;-70350;-70788;5;0;0;0
57;-49900;-70422;6;0;0;0
58;-51200;-70091;6;2;0;0
59;-52700;-69796;7;0;0;0
60;-49850;-69463;5;1;0;0
61;-86900;-69749;18;1;0;0
62;-70050;-69754;5;1;0;0
63;-94450;-70146;32;2;0;0
64;-54300;-69898;8;0;0;0
65;-54850;-69667;11;1;0;0
66;-74350;-69738;9;1;0;0
67;-89200;-70028;28;5;0;0
68;-124100;-70824;34;0;0;0
69;-88300;-71077;24;2;0;0
70;-75900;-71146;12;0;0;0
71;-70500;-71137;22;3;0;0
72;-9900;-70286;5;0;0;0
73;-70300;-70286;5;0;0;0
74;-71350;-70301;7;0;0;0
75;-80450;-70436;19;2;0;0
76;-69700;-70426;6;0;0;0
77;-71350;-70438;5;0;0;0
78;-52550;-70209;6;1;0;0
79;-63000;-70118;20;0;0;0
80;-71950;-70141;6;0;0;0
81;-64700;-70073;16;1;0;0
82;-83300;-70235;18;0;0;0
83;-138300;-71055;28;2;0;0
84;-70750;-71051;6;0;0;0
85;-51450;-70821;6;1;0;0
86;-54350;-70629;10;2;0;0
87;-70300;-70625;5;0;0;0
88;-52800;-70423;6;0;0;0
89;-75400;-70479;12;0;0;0
90;-71900;-70494;6;0;0;0
91;-52700;-70299;7;0;0;0
92;-71400;-70311;11;1;0;0
93;-75900;-70371;9;0;0;0
94;-71050;-70378;11;2;0;0
95;-72100;-70396;6;0;0;0
96;-70350;-70396;5;0;0;0
97;-75200;-70445;12;1;0;0
98;-139950;-71155;19;1;0;0
99;-53450;-70976;8;0;0;0
100;-71850;-70984;9;2;0;0
101;-69000;-70965;6;0;0;0
102;-51400;-70773;8;1;0;0
103;-72150;-70786;7;1;0;0
104;-124050;-71299;23;1;0;0
105;-52550;-71120;6;1;0;0
106;-59250;-71008;18;1;0;0
107;-52800;-70838;6;0;0;0
108;-97450;-71084;13;0;0;0
109;-79100;-71158;19;1;0;0
110;-52800;-70991;6;0;0;0
111;-75000;-71027;16;1;0;0
112;-51200;-70850;5;0;0;0
113;-52300;-70686;7;1;0;0
114;-75600;-70729;12;0;0;0
115;-70300;-70725;6;2;0;0
116;-65850;-70683;25;2;0;0
117;-71900;-70694;7;2;0;0
118;-76600;-70744;14;0;0;0
119;-72850;-70761;10;1;0;0
120;-51400;-70600;8;1;0;0
121;-70900;-70602;6;0;0;0
122;-69250;-70591;6;2;0;0
123;-78600;-70657;11;1;0;0
124;-75000;-70692;9;0;0;0
125;-75050;-70726;12;0;0;0
126;-53800;-70592;8;0;0;0
127;-51200;-70439;5;0;0;0
128;-70350;-70439;5;0;0;0
129;-78400;-70500;16;2;0;0
130;-68950;-70488;5;1;0;0
131;-50750;-70338;11;2;0;0
132;-54150;-70215;7;1;0;0
133;-52800;-70084;6;0;0;0
