Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-51200.0;-51200;5;0;0;0
2;-71850;-61525;15;1;0;0
3;-111800;-78283;50;3;0;0
4;-77700;-78138;11;1;0;0
5;-56050;-73720;12;1;0;0
6;-69300;-72983;6;1;0;0
7;-73750;-73093;8;1;0;0
8;-51800;-70431;9;2;0;0
9;-76750;-71133;12;1;0;0
10;-74300;-71450;12;1;0;0
11;-58900;-70309;11;0;0;0
12;-124800;-74850;24;4;0;0
13;-73100;-74715;10;1;0;0
14;-70100;-74386;5;0;0;0
15;-71050;-74163;9;2;0;0
16;-51800;-72766;6;0;0;0
17;-102450;-74512;15;1;0;0
18;-57000;-73539;13;2;0;0
19;-53600;-72489;8;1;0;0
20;-76300;-72680;13;1;0;0
21;-70100;-72557;5;0;0;0
22;-55400;-71777;12;2;0;0
23;-75850;-71954;9;0;0;0
24;-70050;-71875;7;1;0;0
25;-51200;-71048;5;0;0;0
26;-77450;-71294;10;0;0;0
27;-71050;-71285;7;1;0;0
28;-70300;-71250;5;0;0;0
29;-48800;-70476;5;1;0;0
30;-71750;-70518;11;1;0;0
31;-51200;-69895;5;0;0;0
32;-49850;-69269;5;1;0;0
33;-96550;-70095;13;2;0;0
34;-72200;-70157;7;1;0;0
35;-67350;-70077;32;3;0;0
36;-72950;-70157;6;0;0;0
37;-74250;-70268;8;0;0;0
38;-28650;-69172;5;1;0;0
39;-83700;-69545;19;0;0;0
40;-69200;-69536;7;0;0;0
41;-69250;-69529;7;1;0;0
42;-78200;-69736;11;0;0;0
43;-49350;-69262;7;3;0;0
44;-70950;-69300;9;1;0;0
45;-70850;-69334;6;0;0;0
46;-69000;-69327;5;1;0;0
47;-181650;-71717;29;2;0;0
48;-51900;-71304;8;1;0;0
49;-61750;-71109;15;1;0;0
50;-73450;-71156;9;1;0;0
51;-70050;-71134;5;1;0;0
52;-103050;-71748;33;5;0;0
53;-29900;-70958;11;1;0;0
54;-51200;-70593;5;0;0;0
55;-52650;-70266;9;0;0;0
56;-53350;-69964;7;0;0;0
57;-119350;-70831;38;2;0;0
58;-56850;-70590;13;2;0;0
59;-49250;-70228;9;1;0;0
60;-49700;-69886;5;1;0;0
61;-73900;-69952;10;0;0;0
62;-77450;-70073;13;3;0;0
63;-52800;-69798;6;0;0;0
64;-138850;-70877;37;5;0;0
65;-51700;-70582;10;1;0;0
66;-133350;-71533;27;1;0;0
67;-72900;-71554;8;1;0;0
68;-79300;-71668;12;0;0;0
69;-74300;-71706;8;0;0;0
70;-51150;-71412;7;1;0;0
71;-72650;-71430;9;0;0;0
72;-72350;-71442;7;0;0;0
73;-70300;-71427;5;0;0;0
74;-69950;-71407;7;1;0;0
75;-75050;-71455;10;1;0;0
76;-73500;-71482;12;1;0;0
77;-100700;-71862;35;2;0;0
78;-70300;-71842;5;0;0;0
79;-73250;-71859;7;1;0;0
80;-59900;-71710;18;2;0;0
81;-70300;-71693;5;0;0;0
82;-70350;-71676;5;0;0;0
83;-81100;-71790;13;0;0;0
84;-67650;-71740;7;2;0;0
85;-102650;-72104;25;1;0;0
86;-67700;-72053;20;0;0;0
87;-58650;-71899;15;0;0;0
88;-50600;-71657;6;0;0;0
89;-26900;-71154;12;3;0;0
90;-72950;-71174;13;1;0;0
91;-56000;-71007;8;0;0;0
92;-74800;-71048;8;1;0;0
93;-50200;-70824;5;0;0;0
94;-29700;-70387;7;1;0;0
95;-61550;-70294;18;3;0;0
96;-83100;-70427;18;2;0;0
97;-121100;-70949;18;1;0;0
98;-72650;-70967;8;1;0;0
99;-53550;-70791;7;0;0;0
100;-137200;-71455;20;3;0;0
101;-50200;-71245;5;0;0;0
102;-178900;-72300;39;2;0;0
103;-36400;-71951;7;1;0;0
104;-68950;-71923;5;1;0;0
105;-50600;-71720;11;3;0;0
106;-70600;-71709;6;1;0;0
107;-52800;-71532;6;0;0;0
108;-73950;-71555;11;2;0;0
109;-72250;-71561;11;1;0;0
110;-106800;-71881;27;1;0;0
111;-164350;-72714;32;4;0;0
112;-53550;-72543;7;0;0;0
113;-70300;-72523;5;0;0;0
114;-71350;-72513;5;0;0;0
115;-80800;-72585;16;1;0;0
116;-72900;-72588;11;2;0;0
117;-114900;-72950;23;4;0;0
118;-133650;-73464;38;4;0;0
119;-59300;-73345;14;1;0;0
120;-94450;-73521;17;1;0;0
121;-48800;-73317;5;1;0;0
122;-51200;-73135;5;0;0;0
123;-54650;-72985;8;1;0;0
124;-69500;-72957;6;1;0;0
125;-52800;-72796;7;2;0;0
126;-139150;-73322;40;2;0;0
127;-51800;-73153;6;0;0;0
128;-51950;-72987;6;0;0;0
129;-71000;-72972;10;0;0;0
130;-29550;-72638;5;2;0;0
131;-52950;-72487;8;0;0;0
132;-54400;-72350;8;2;0;0
133;-69500;-72329;9;3;0;0
134;-51200;-72171;5;0;0;0
135;-119300;-72520;27;1;0;0
136;-69550;-72499;6;1;0;0
137;-73550;-72506;10;0;0;0
138;-73700;-72515;7;0;0;0
139;-34000;-72238;7;1;0;0
140;-49900;-72078;5;1;0;0
141;-72700;-72083;7;0;0;0
142;-72950;-72089;6;0;0;0
143;-59000;-71997;14;1;0;0
144;-34950;-71740;12;1;0;0
145;-70300;-71730;5;0;0;0
146;-70300;-71720;5;0;0;0
147;-51250;-71581;7;1;0;0
148;-51700;-71447;8;1;0;0
149;-49600;-71300;5;2;0;0
150;-73700;-71316;7;0;0;0
151;-48700;-71166;8;0;0;0
152;-16600;-70807;11;3;0;0
153;-76900;-70847;14;1;0;0
154;-69450;-70838;7;0;0;0
155;-72100;-70846;6;0;0;0
156;-53000;-70732;9;1;0;0
157;-70000;-70727;5;1;0;0
158;-68950;-70716;5;1;0;0
159;-74050;-70737;12;2;0;0
160;-71100;-70739;6;0;0;0
161;-20600;-70428;9;0;0;0
162;-71350;-70433;5;0;0;0
163;-69700;-70429;6;0;0;0
164;-87600;-70534;26;1;0;0
165;-67450;-70515;6;1;0;0
166;-72350;-70526;7;1;0;0
167;-74550;-70550;7;0;0;0
168;-54200;-70453;16;5;0;0
169;-82450;-70524;18;1;0;0
170;-74550;-70547;9;1;0;0
171;-76900;-70585;11;1;0;0
172;-71350;-70589;5;0;0;0
173;-50200;-70471;6;1;0;0
174;-71450;-70477;9;0;0;0
175;-74550;-70500;7;0;0;0
176;-59050;-70435;14;1;0;0
177;-73750;-70454;8;1;0;0
178;-70550;-70454;6;1;0;0
179;-128500;-70778;26;1;0;0
180;-49600;-70661;5;2;0;0
181;-52800;-70562;6;0;0;0
182;-47400;-70435;7;0;0;0
183;-72150;-70444;7;1;0;0
184;-50200;-70334;6;2;0;0
185;-14200;-70031;6;1;0;0
186;-117450;-70286;17;2;0;0
187;-72850;-70299;10;1;0;0
188;-70200;-70299;9;2;0;0
189;-70600;-70301;6;1;0;0
190;-71200;-70305;8;0;0;0
191;-70050;-70304;5;1;0;0
192;-48500;-70190;10;4;0;0
193;-51200;-70092;5;0;0;0
194;-75000;-70117;9;0;0;0
195;-71350;-70124;5;0;0;0
196;-52550;-70034;6;1;0;0
197;-76000;-70064;14;2;0;0
198;-70300;-70065;5;0;0;0
199;-71050;-70070;6;0;0;0
200;-47200;-69956;8;2;0;0
201;-49800;-69856;7;1;0;0
202;-72150;-69867;7;1;0;0
203;-57750;-69807;19;3;0;0
204;-74000;-69828;11;2;0;0
205;-71900;-69838;6;0;0;0
206;-70550;-69842;6;1;0;0
207;-54650;-69768;8;1;0;0
208;-52700;-69686;7;0;0;0
209;-50700;-69595;8;1;0;0
