Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-171650.0;-171650;43;3;0;0
2;-99150;-135400;36;3;0;0
3;-83600;-118133;13;1;0;0
4;-52400;-101700;6;0;0;0
5;-86650;-98690;28;5;0;0
6;-122050;-102583;21;3;0;0
7;-26650;-91736;23;3;0;0
8;-136150;-97288;38;5;0;0
9;-72800;-94567;9;2;0;0
10;-60450;-91155;16;0;0;0
11;-73700;-89568;10;2;0;0
12;-75650;-88408;15;3;0;0
13;-71800;-87131;11;2;0;0
14;-73700;-86171;18;1;0;0
15;-75900;-85487;15;0;0;0
16;-100800;-86444;15;1;0;0
17;-76500;-85859;11;1;0;0
18;-53150;-84042;6;1;0;0
19;-187650;-89495;47;4;0;0
20;-71950;-88618;10;2;0;0
21;-125400;-90369;19;0;0;0
22;-49850;-88527;10;1;0;0
23;-95550;-88833;16;3;0;0
24;-71800;-88123;6;0;0;0
25;-80150;-87804;16;2;0;0
26;-85900;-87731;21;1;0;0
27;-87800;-87733;25;2;0;0
28;-119000;-88850;32;0;0;0
29;-99750;-89226;30;2;0;0
30;-74400;-88732;7;0;0;0
31;-78250;-88394;12;0;0;0
32;-80600;-88150;22;1;0;0
33;-80850;-87929;13;0;0;0
34;-78950;-87665;13;1;0;0
35;-75350;-87313;8;0;0;0
36;-80300;-87118;15;0;0;0
37;-90250;-87203;22;0;0;0
38;-52050;-86278;16;3;0;0
39;-53700;-85442;8;0;0;0
40;-87500;-85494;18;0;0;0
41;-79850;-85356;14;1;0;0
42;-63400;-84833;15;0;0;0
43;-56900;-84184;8;0;0;0
44;-43650;-83262;18;3;0;0
45;-103100;-83703;19;0;0;0
46;-150300;-85151;28;2;0;0
47;-37700;-84141;12;2;0;0
48;-53400;-83501;6;0;0;0
49;-59900;-83019;13;1;0;0
50;-77900;-82917;9;0;0;0
51;-52300;-82317;8;1;0;0
52;-49300;-81682;5;1;0;0
53;-89350;-81826;17;0;0;0
54;-35750;-80973;12;2;0;0
55;-51650;-80440;5;0;0;0
56;-62650;-80122;31;0;0;0
57;-71000;-79962;7;1;0;0
58;-75600;-79887;10;0;0;0
59;-230250;-82436;78;3;0;0
60;-123600;-83122;28;3;0;0
61;-54450;-82652;9;0;0;0
62;-88350;-82744;23;0;0;0
63;-81650;-82726;17;0;0;0
64;-49900;-82213;5;2;0;0
65;-52550;-81757;6;0;0;0
66;-61000;-81442;14;0;0;0
67;-73300;-81321;7;1;0;0
68;-70450;-81161;5;1;0;0
69;-90950;-81303;44;3;0;0
70;-126700;-81951;34;2;0;0
71;-50550;-81509;7;1;0;0
72;-51550;-81093;6;0;0;0
73;-75550;-81017;18;2;0;0
74;-142200;-81844;39;3;0;0
75;-71250;-81703;8;1;0;0
76;-108250;-82052;34;2;0;0
77;-70950;-81908;32;4;0;0
78;-71800;-81778;6;0;0;0
79;-100300;-82013;64;6;0;0
80;-105450;-82306;24;6;0;0
81;-82050;-82302;16;2;0;0
82;-74350;-82205;15;2;0;0
83;-54550;-81872;11;1;0;0
84;-120300;-82330;37;3;0;0
85;-92350;-82448;23;2;0;0
86;-81300;-82434;23;4;0;0
87;-162500;-83355;84;6;0;0
88;-50150;-82977;5;1;0;0
89;-86000;-83011;20;4;0;0
90;-86350;-83048;22;1;0;0
91;-72850;-82936;6;0;0;0
92;-40600;-82476;11;1;0;0
93;-56350;-82195;27;2;0;0
94;-68400;-82048;5;1;0;0
95;-51050;-81722;6;0;0;0
96;-71950;-81620;5;0;0;0
97;-68750;-81488;6;2;0;0
98;-114550;-81825;41;1;0;0
99;-77150;-81778;10;1;0;0
100;-78050;-81740;12;2;0;0
101;-78250;-81706;26;0;0;0
