Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-85300.0;-85300;20;2;0;0
2;-52050;-68675;7;1;0;0
3;-101350;-79567;23;3;0;0
4;-73050;-77938;28;1;0;0
5;-70900;-76530;7;2;0;0
6;-101050;-80617;45;4;0;0
7;-125200;-86986;25;1;0;0
8;-80400;-86162;12;1;0;0
9;-74250;-84839;8;0;0;0
10;-130400;-89395;43;3;0;0
11;-70650;-87691;12;2;0;0
12;-67450;-86004;33;1;0;0
13;-52150;-83400;9;1;0;0
14;-52700;-81207;7;0;0;0
15;-50400;-79153;6;1;0;0
16;-120350;-81728;19;1;0;0
17;-81250;-81700;17;2;0;0
18;-77350;-81458;11;0;0;0
19;-72800;-81003;11;1;0;0
20;-70300;-80468;5;0;0;0
21;-75250;-80219;10;0;0;0
22;-54400;-79045;7;0;0;0
23;-53050;-77915;7;1;0;0
24;-73750;-77742;8;1;0;0
25;-71650;-77498;6;1;0;0
26;-57750;-76738;11;1;0;0
27;-71900;-76559;6;0;0;0
28;-125450;-78305;24;1;0;0
29;-105250;-79234;60;2;0;0
30;-39600;-77913;10;0;0;0
31;-136600;-79806;70;10;0;0
32;-74200;-79631;15;2;0;0
33;-71600;-79388;6;1;0;0
34;-80250;-79413;24;5;0;0
35;-45850;-78454;7;1;0;0
36;-70600;-78236;12;2;0;0
37;-15350;-76536;9;0;0;0
38;-55050;-75971;11;0;0;0
39;-71700;-75862;6;0;0;0
40;-138200;-77420;82;1;0;0
41;-77400;-77420;12;1;0;0
42;-74550;-77351;12;2;0;0
43;-24350;-76119;19;1;0;0
44;-54050;-75617;16;4;0;0
45;-55050;-75160;9;0;0;0
46;-29550;-74168;5;2;0;0
47;-75350;-74194;9;1;0;0
48;-37200;-73423;33;4;0;0
49;-50950;-72964;5;1;0;0
50;-82000;-73145;20;1;0;0
51;-90050;-73476;37;4;0;0
52;-54400;-73110;13;2;0;0
53;-61100;-72883;18;2;0;0
54;-65150;-72740;17;0;0;0
55;-70900;-72706;6;0;0;0
56;-51200;-72322;5;0;0;0
57;-89500;-72624;27;2;0;0
58;-70300;-72584;5;0;0;0
59;-74500;-72616;9;1;0;0
60;-75650;-72667;22;3;0;0
61;-51200;-72315;5;0;0;0
62;-80800;-72452;14;0;0;0
63;-90500;-72738;21;1;0;0
64;-73700;-72753;7;0;0;0
65;-51450;-72425;10;2;0;0
66;-28100;-71754;7;0;0;0
67;-181000;-73384;89;4;0;0
68;-107300;-73883;37;6;0;0
