Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-50150.0;-50150;5;1;0;0
2;-99400;-74775;31;2;0;0
3;-68750;-72767;6;2;0;0
4;-79400;-74425;19;2;0;0
5;-80050;-75550;15;2;0;0
6;-85200;-77158;20;1;0;0
7;-36650;-71371;9;0;0;0
8;-48900;-68562;5;1;0;0
9;-54500;-67000;10;1;0;0
10;-71150;-67415;6;1;0;0
11;-108000;-71105;48;2;0;0
12;-69150;-70942;5;2;0;0
13;-75950;-71327;12;1;0;0
14;-78150;-71814;22;4;0;0
15;-126200;-75440;31;4;0;0
16;-72250;-75241;10;2;0;0
17;-37150;-73000;10;1;0;0
18;-68100;-72728;20;0;0;0
19;-72700;-72726;7;0;0;0
20;-54550;-71818;8;0;0;0
21;-58450;-71181;10;1;0;0
22;-100100;-72495;33;2;0;0
23;-83150;-72959;12;0;0;0
24;-47850;-71912;5;1;0;0
25;-70050;-71838;6;1;0;0
26;-56600;-71252;11;2;0;0
27;-81700;-71639;13;0;0;0
28;-74200;-71730;7;0;0;0
29;-73950;-71807;7;1;0;0
30;-37550;-70665;11;2;0;0
31;-74500;-70789;8;0;0;0
32;-62500;-70530;21;1;0;0
33;-13300;-68795;7;1;0;0
34;-40500;-67963;9;1;0;0
35;-92400;-68661;39;2;0;0
36;-85600;-69132;18;2;0;0
37;-114200;-70350;25;3;0;0
38;-50600;-69830;5;0;0;0
39;-69400;-69819;5;1;0;0
40;-76750;-69992;12;0;0;0
41;-51650;-69545;5;0;0;0
42;-19550;-68355;9;2;0;0
43;-82200;-68677;13;0;0;0
44;-120000;-69843;44;2;0;0
45;-70950;-69868;5;0;0;0
46;-51900;-69477;6;1;0;0
47;-215600;-72586;55;3;0;0
48;-71700;-72568;25;3;0;0
49;-54550;-72200;8;1;0;0
50;-55050;-71857;8;0;0;0
51;-173600;-73852;41;6;0;0
52;-111350;-74573;29;5;0;0
53;-57250;-74246;11;2;0;0
54;-73200;-74227;9;1;0;0
55;-101050;-74715;56;4;0;0
56;-76450;-74746;10;1;0;0
57;-84750;-74921;19;2;0;0
58;-73800;-74902;8;0;0;0
59;-72700;-74864;11;3;0;0
60;-56350;-74556;10;2;0;0
61;-91600;-74835;23;2;0;0
62;-72700;-74801;7;1;0;0
63;-91150;-75060;19;0;0;0
64;-78300;-75111;14;2;0;0
65;-72750;-75075;8;0;0;0
66;-69400;-74989;5;1;0;0
67;-69900;-74913;5;0;0;0
68;-74600;-74908;7;0;0;0
69;-169600;-76280;52;3;0;0
70;-158600;-77456;37;2;0;0
71;-77200;-77453;8;0;0;0
72;-32050;-76822;6;0;0;0
73;-85750;-76945;18;1;0;0
74;-221350;-78896;43;5;0;0
75;-50550;-78518;8;2;0;0
76;-85300;-78607;17;0;0;0
77;-50650;-78244;5;0;0;0
78;-71250;-78154;8;1;0;0
79;-96300;-78384;21;0;0;0
80;-106000;-78729;28;1;0;0
81;-49900;-78373;5;2;0;0
82;-73750;-78317;11;0;0;0
83;-86850;-78420;37;1;0;0
84;-69300;-78311;27;2;0;0
85;-9800;-77505;5;1;0;0
86;-248500;-79494;73;4;0;0
87;-112500;-79873;29;2;0;0
88;-30450;-79311;8;2;0;0
89;-97500;-79516;37;3;0;0
90;-82850;-79553;15;1;0;0
91;-44650;-79169;8;1;0;0
92;-74000;-79113;12;1;0;0
93;-78150;-79103;24;3;0;0
94;-102600;-79353;37;3;0;0
95;-124000;-79823;27;1;0;0
96;-51400;-79527;5;1;0;0
97;-73650;-79466;9;1;0;0
98;-74000;-79410;8;0;0;0
99;-217400;-80804;76;7;0;0
100;-120350;-81200;38;0;0;0
101;-55450;-80945;9;0;0;0
102;-74500;-80881;9;1;0;0
103;-112950;-81193;14;2;0;0
104;-98000;-81354;26;3;0;0
105;-51400;-81069;5;1;0;0
106;-155650;-81773;73;5;0;0
107;-115950;-82092;15;2;0;0
108;-121700;-82459;49;2;0;0
109;-36350;-82036;8;1;0;0
110;-75300;-81975;50;4;0;0
111;-75300;-81914;8;0;0;0
112;-62450;-81741;28;3;0;0
113;-78150;-81709;10;0;0;0
114;-85550;-81743;18;1;0;0
115;-52400;-81487;6;0;0;0
116;-74000;-81423;11;1;0;0
117;-82100;-81429;17;2;0;0
118;-78000;-81400;16;1;0;0
119;-34950;-81009;10;3;0;0
120;-32900;-80608;7;1;0;0
121;-50150;-80357;5;1;0;0
122;-131200;-80773;27;2;0;0
123;-59900;-80604;13;1;0;0
124;-31850;-80210;6;0;0;0
125;-72450;-80148;6;0;0;0
126;-51400;-79920;5;1;0;0
127;-57250;-79742;11;1;0;0
128;-72650;-79686;6;0;0;0
129;-75450;-79653;7;0;0;0
130;-69400;-79575;5;1;0;0
131;-28600;-79185;5;2;0;0
132;-68150;-79102;5;1;0;0
133;-77050;-79086;9;0;0;0
134;-76150;-79065;8;0;0;0
135;-51400;-78860;5;1;0;0
136;-34900;-78536;8;0;0;0
137;-63050;-78423;26;5;0;0
138;-50400;-78220;5;1;0;0
139;-74500;-78194;9;1;0;0
140;-38600;-77911;14;3;0;0
141;-52300;-77729;6;1;0;0
142;-71200;-77683;6;1;0;0
143;-74150;-77658;11;1;0;0
144;-81400;-77684;16;0;0;0
145;-51400;-77503;5;1;0;0
146;-69850;-77451;6;2;0;0
147;-76500;-77444;10;0;0;0
148;-50500;-77262;7;1;0;0
149;-84600;-77311;21;1;0;0
150;-54900;-77162;7;1;0;0
151;-80900;-77187;14;2;0;0
152;-33600;-76900;7;1;0;0
153;-70450;-76858;5;1;0;0
154;-142850;-77286;30;2;0;0
155;-49600;-77108;6;1;0;0
156;-75050;-77095;12;0;0;0
157;-70450;-77052;5;1;0;0
158;-48500;-76872;6;2;0;0
159;-70900;-76834;5;0;0;0
160;-62850;-76747;16;1;0;0
161;-61550;-76652;12;0;0;0
162;-60150;-76550;10;1;0;0
163;-73000;-76529;9;0;0;0
164;-55000;-76397;8;0;0;0
165;-51650;-76247;5;0;0;0
166;-69150;-76205;5;2;0;0
167;-72200;-76181;6;1;0;0
168;-77550;-76189;26;0;0;0
169;-85000;-76241;15;1;0;0
170;-54050;-76110;11;1;0;0
171;-72050;-76087;7;1;0;0
172;-85850;-76143;15;0;0;0
173;-70900;-76113;5;0;0;0
174;-56150;-75998;14;2;0;0
175;-91450;-76087;25;0;0;0
176;-74400;-76077;7;0;0;0
177;-71950;-76054;5;0;0;0
178;-52250;-75920;7;0;0;0
179;-70850;-75892;9;1;0;0
180;-171800;-76424;27;2;0;0
181;-25250;-76142;6;2;0;0
182;-91800;-76228;24;2;0;0
183;-50000;-76084;7;2;0;0
184;-80850;-76110;21;1;0;0
185;-72350;-76090;9;0;0;0
186;-67150;-76042;22;1;0;0
187;-58500;-75948;11;1;0;0
188;-76600;-75952;9;0;0;0
189;-30300;-75710;5;0;0;0
190;-54900;-75601;7;1;0;0
191;-67700;-75559;23;1;0;0
192;-28600;-75315;5;2;0;0
193;-59050;-75230;13;0;0;0
194;-129600;-75511;31;0;0;0
195;-70650;-75486;5;1;0;0
196;-71950;-75468;5;0;0;0
197;-70800;-75444;6;0;0;0
198;-75400;-75444;11;2;0;0
199;-75450;-75444;7;0;0;0
200;-60200;-75368;13;0;0;0
201;-82350;-75402;12;0;0;0
202;-52400;-75288;6;0;0;0
203;-50800;-75168;6;1;0;0
204;-71850;-75151;7;1;0;0
205;-73700;-75144;6;0;0;0
206;-55250;-75048;9;1;0;0
207;-86300;-75102;16;0;0;0
208;-68400;-75070;5;1;0;0
209;-56300;-74980;9;0;0;0
210;-69400;-74954;5;1;0;0
211;-62600;-74895;24;3;0;0
212;-71800;-74880;6;0;0;0
213;-56950;-74796;9;0;0;0
214;-87400;-74855;18;2;0;0
215;-72500;-74844;8;1;0;0
216;-85350;-74893;17;1;0;0
217;-54850;-74800;9;2;0;0
218;-68700;-74772;8;2;0;0
219;-71700;-74758;7;0;0;0
220;-79450;-74780;18;4;0;0
221;-71100;-74763;8;2;0;0
222;-73100;-74756;7;0;0;0
223;-103650;-74885;16;1;0;0
224;-51650;-74781;5;0;0;0
225;-81600;-74812;11;0;0;0
226;-86850;-74865;18;1;0;0
227;-29850;-74667;5;1;0;0
228;-128150;-74901;22;2;0;0
229;-69650;-74878;5;1;0;0
230;-70650;-74860;5;1;0;0
231;-52300;-74762;6;1;0;0
232;-69300;-74739;6;0;0;0
233;-72850;-74731;6;0;0;0
234;-79100;-74749;17;0;0;0
235;-51650;-74651;5;0;0;0
236;-52300;-74556;6;1;0;0
237;-80700;-74582;17;2;0;0
238;-50400;-74481;5;1;0;0
239;-129400;-74710;35;2;0;0
240;-54150;-74625;8;2;0;0
241;-117000;-74801;17;2;0;0
242;-82000;-74830;30;1;0;0
243;-64850;-74789;14;0;0;0
244;-172500;-75190;29;3;0;0
245;-42550;-75057;16;2;0;0
246;-56150;-74980;10;0;0;0
247;-84050;-75016;17;2;0;0
248;-62250;-74965;13;2;0;0
249;-81450;-74991;12;0;0;0
250;-73450;-74985;9;0;0;0
251;-79950;-75005;16;2;0;0
252;-33000;-74838;7;0;0;0
253;-70900;-74822;5;0;0;0
254;-52800;-74736;7;1;0;0
255;-51400;-74644;5;1;0;0
256;-59850;-74586;12;0;0;0
257;-50250;-74492;6;1;0;0
258;-186500;-74926;31;1;0;0
259;-57750;-74859;13;0;0;0
260;-69900;-74840;5;0;0;0
261;-69400;-74820;5;1;0;0
262;-51400;-74730;5;1;0;0
263;-48900;-74632;5;2;0;0
264;-29400;-74461;8;2;0;0
265;-52750;-74379;9;1;0;0
266;-32100;-74220;7;1;0;0
267;-82000;-74249;23;3;0;0
268;-72700;-74243;6;0;0;0
269;-62200;-74198;20;3;0;0
270;-85900;-74242;21;2;0;0
271;-52800;-74163;7;1;0;0
272;-9800;-73926;5;1;0;0
273;-102350;-74030;19;1;0;0
274;-51650;-73948;5;0;0;0
275;-152700;-74235;25;2;0;0
276;-172300;-74590;33;1;0;0
277;-33250;-74441;8;0;0;0
278;-176700;-74809;35;1;0;0
279;-29850;-74647;5;1;0;0
280;-70750;-74634;7;2;0;0
281;-52850;-74556;11;1;0;0
282;-55400;-74488;8;1;0;0
283;-75350;-74491;19;2;0;0
284;-76000;-74496;10;2;0;0
285;-70900;-74484;5;0;0;0
286;-84500;-74519;14;0;0;0
287;-73700;-74516;6;0;0;0
288;-51950;-74438;7;0;0;0
289;-70900;-74425;5;0;0;0
290;-48750;-74337;7;3;0;0
291;-71950;-74329;5;0;0;0
292;-135250;-74537;32;3;0;0
293;-53000;-74464;11;1;0;0
294;-55350;-74399;10;0;0;0
295;-127800;-74580;32;4;0;0
296;-102250;-74673;41;5;0;0
297;-69400;-74656;5;1;0;0
298;-69850;-74639;9;1;0;0
299;-52150;-74564;6;1;0;0
300;-137750;-74775;15;1;0;0
301;-119600;-74924;16;3;0;0
302;-87850;-74967;17;1;0;0
303;-72650;-74959;6;0;0;0
